date,rate
2025-12-05,1.1643
2025-12-09,1.1641
2025-12-11,1.1701
2025-12-12,1.1739
2025-12-15,1.1738
2025-12-16,1.1755
2025-12-17,1.1750
2025-12-18,1.1742
2025-12-19,1.1726
2025-12-22,1.1708
2025-12-23,1.1766
2025-12-26,1.1785
2026-01-02,1.1750
2026-01-05,1.1705
2026-01-07,1.1688
2026-01-08,1.1677
2026-01-09,1.1658
2026-01-12,1.1624
2026-01-13,1.1667
2026-01-15,1.1646
2026-01-16,1.1609
2026-01-19,1.1625
2026-01-22,1.1673
2026-01-23,1.1755
2026-01-26,1.1858
2026-01-27,1.1876
2026-01-28,1.2018
2026-01-29,1.1978
2026-01-30,1.1966
2026-02-02,1.1849
2026-02-03,1.1799
2026-02-04,1.1816
2026-02-05,1.1802
2026-02-06,1.1778
2026-02-09,1.1826
2026-02-10,1.1904
2026-02-11,1.1890
2026-02-12,1.1876
2026-02-13,1.1868
2026-02-16,1.1867
2026-02-18,1.1852
2026-02-19,1.1789
2026-02-20,1.1769
2026-02-23,1.1835
2026-02-24,1.1794
2026-02-25,1.1775
2026-02-26,1.1815
2026-02-27,1.1803
2026-03-02,1.1759
2026-03-03,1.1697
